route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id
1,1,1,"30TH ST. PHL.",0,"4660",1
1,1,2,"30TH ST. PHL.",0,"4662",2
1,1,3,"30TH ST. PHL.",0,"4664",3
1,1,4,"30TH ST. PHL.",0,"4668",4
1,1,5,"30TH ST. PHL.",0,"4670",5
1,1,6,"30TH ST. PHL.",0,"4674",6
1,1,7,"30TH ST. PHL.",0,"4678",7
1,1,8,"30TH ST. PHL.",0,"4680",8
1,1,9,"30TH ST. PHL.",0,"4682",9
1,1,10,"30TH ST. PHL.",0,"4684",10
1,1,11,"30TH ST. PHL.",0,"4688",11
1,1,12,"30TH ST. PHL.",0,"4692",12
1,2,13,"30TH ST. PHL.",0,"4608",13
1,2,14,"30TH ST. PHL.",0,"4610",14
1,2,15,"30TH ST. PHL.",0,"4612",15
1,2,16,"30TH ST. PHL.",0,"4616",16
1,2,17,"30TH ST. PHL.",0,"4620",17
1,2,18,"30TH ST. PHL.",0,"4624",18
1,2,19,"30TH ST. PHL.",0,"4628",19
1,2,20,"30TH ST. PHL.",0,"4630",20
1,2,21,"30TH ST. PHL.",0,"4632",21
1,2,22,"30TH ST. PHL.",0,"4634",22
1,2,23,"30TH ST. PHL.",0,"4638",23
1,2,24,"30TH ST. PHL.",0,"4642",24
1,2,25,"ATLANTIC CITY",1,"4651",25
1,3,26,"ATLANTIC CITY",1,"4697",26
1,1,27,"ATLANTIC CITY",1,"4661",27
1,1,28,"ATLANTIC CITY",1,"4669",28
1,1,29,"ATLANTIC CITY",1,"4671",29
1,1,30,"ATLANTIC CITY",1,"4673",30
1,1,31,"ATLANTIC CITY",1,"4677",31
1,1,32,"ATLANTIC CITY",1,"4679",32
1,1,33,"ATLANTIC CITY",1,"4683",33
1,1,34,"ATLANTIC CITY",1,"4685",34
1,1,35,"ATLANTIC CITY",1,"4687",35
1,1,36,"ATLANTIC CITY",1,"4689",36
1,1,37,"ATLANTIC CITY",1,"4693",37
1,2,38,"ATLANTIC CITY",1,"4613",38
1,2,39,"ATLANTIC CITY",1,"4615",39
1,2,40,"ATLANTIC CITY",1,"4617",40
1,2,41,"ATLANTIC CITY",1,"4623",41
1,2,42,"ATLANTIC CITY",1,"4627",42
1,2,43,"ATLANTIC CITY",1,"4631",43
1,2,44,"ATLANTIC CITY",1,"4633",44
1,2,45,"ATLANTIC CITY",1,"4635",45
1,2,46,"ATLANTIC CITY",1,"4639",46
1,2,47,"ATLANTIC CITY",1,"4641",47
1,2,48,"ATLANTIC CITY",1,"4643",48
2,4,49,"HOBOKEN",0,"1090",49
2,4,50,"HOBOKEN",0,"1092",50
2,4,51,"HOBOKEN",0,"1094",51
2,2,52,"HOBOKEN",0,"1002",52
2,2,53,"HOBOKEN",0,"1000",53
2,2,54,"HOBOKEN",0,"1070",54
2,2,55,"HOBOKEN",0,"1006",55
2,2,56,"HOBOKEN",0,"1074",56
2,4,57,"LAKE HOPATCONG",1,"1091",57
2,4,58,"LAKE HOPATCONG",1,"1093",58
2,4,59,"LAKE HOPATCONG",1,"1095",59
2,2,60,"DOVER",1,"1009",60
2,2,61,"MOUNT OLIVE",1,"1055",61
2,2,62,"DENVILLE",1,"1003",62
2,2,63,"LAKE HOPATCONG",1,"1011",63
2,2,64,"DOVER",1,"1001",64
2,2,65,"HACKETTSTOWN",1,"1079",65
2,2,66,"MOUNT OLIVE",1,"1061",66
2,2,67,"HACKETTSTOWN",1,"1085",67
2,2,68,"HACKETTSTOWN",1,"1087",68
3,5,69,"NEW YORK PENN STATION",0,"6270",69
3,4,70,"NEW YORK PENN STATION",0,"9200",70
3,4,71,"NEW YORK PENN STATION",0,"9202",71
3,4,72,"NEW YORK PENN STATION",0,"9204",72
3,4,73,"HOBOKEN",0,"9530",73
3,3,74,"HOBOKEN",0,"0544",74
3,6,75,"HOBOKEN",0,"0530",75
3,1,76,"HOBOKEN",0,"0510",76
3,1,77,"HOBOKEN",0,"0514",77
3,1,78,"HOBOKEN",0,"0518",78
3,1,79,"HOBOKEN",0,"0522",79
3,1,80,"HOBOKEN",0,"0526",80
3,1,81,"HOBOKEN",0,"0534",81
3,1,82,"HOBOKEN",0,"0538",82
3,7,83,"NEW YORK PENN STATION",0,"6270",83
3,2,84,"HOBOKEN",0,"0262",84
3,2,85,"NEW YORK PENN STATION",0,"6210",85
3,2,86,"HOBOKEN",0,"0204",86
3,2,87,"NEW YORK PENN STATION",0,"6200",87
3,2,88,"HOBOKEN",0,"0208",88
3,2,89,"HOBOKEN",0,"0212",89
3,2,90,"HOBOKEN",0,"0264",90
3,2,91,"NEW YORK PENN STATION",0,"6206",91
3,2,92,"NEW YORK PENN STATION",0,"6214",92
3,2,93,"NEW YORK PENN STATION",0,"6252",93
3,2,94,"NEW YORK PENN STATION",0,"6278",94
3,2,95,"NEW YORK PENN STATION",0,"6280",95
3,2,96,"NEW YORK PENN STATION",0,"6202",96
3,2,97,"NEW YORK PENN STATION",0,"6204",97
3,2,98,"NEW YORK PENN STATION",0,"6216",98
3,2,99,"NEW YORK PENN STATION",0,"6222",99
3,2,100,"NEW YORK PENN STATION",0,"6226",100
3,2,101,"NEW YORK PENN STATION",0,"6230",101
3,2,102,"NEW YORK PENN STATION",0,"6234",102
3,2,103,"NEW YORK PENN STATION",0,"6238",103
3,2,104,"NEW YORK PENN STATION",0,"6242",104
3,2,105,"NEW YORK PENN STATION",0,"6246",105
3,2,106,"NEW YORK PENN STATION",0,"6258",106
